Drug,Liver,Blood,Spinal Column,Nerve,Muscle,Alimentary Canal,Skin,Pancreas,Reproductive System,Mouth,Vascular System,Heart,Brain,Endocrine Gland,Urinary System,Adipose Tissue,Lung,Spleen
&Delta;9-tetrahydrocannabinol,0.0,9.983402907005985,0.25147110596992406,1.3830910828345824,0.25147110596992406,8.507267514962528,4.136699693205251,0.12573555298496203,17.82427199114822,0.5909570990293216,4.777951013428557,0.08801488708947341,26.902378916662474,7.42091233717246,0.6286777649248102,7.292662073127798,1.4610471256852589,7.368103404918775
&alpha;-methylnoradrenaline,0.0,0.0,0.0,7.305194805194805,0.0,5.357142857142857,1.1363636363636362,0.0,42.12662337662338,0.40584415584415584,11.363636363636363,0.0,12.5,6.087662337662337,3.2467532467532467,3.2467532467532467,4.058441558441558,2.435064935064935
&gamma;-hydroxybutyric acid,0.0,0.0,0.0,2.032520325203252,0.0,4.065040650406504,0.0,0.0,44.51219512195122,6.097560975609756,0.0,0.0,0.0,9.75609756097561,4.065040650406504,18.29268292682927,1.016260162601626,10.16260162601626
(-)-adrenaline,2.7777777777777777,0.11559330030667611,0.20995517810804434,3.0785562632696393,0.14154281670205238,4.593064401981599,4.706298655343241,1.545175748997405,34.689785326728,0.9035149799481008,10.271290398678934,0.7961783439490446,10.804435008256666,4.243925454116537,1.9768813399386649,11.936777541873083,2.653927813163482,3.880632224581269
(-)-noradrenaline,1.632782390522749,0.0,0.21856651405809469,2.3085279739272133,0.31685678073510776,3.672952070562065,2.6169783502754713,0.963503272031246,38.53495770931947,0.5793952562013399,18.680323840562842,0.7662760921859239,9.635032720312457,4.009854892527353,2.230930394971677,7.7856237552055045,1.4678875352422338,3.7634825793435245
(-)-pentazocine,0.0,0.0,0.0,0.0,0.0,1.2953367875647668,0.0,0.0,7.512953367875648,0.0,0.0,0.0,91.19170984455958,0.0,0.0,0.0,0.0,0.0
(-)-sulpiride,0.23148148148148148,0.1388888888888889,0.8564814814814815,2.314814814814815,0.23148148148148148,4.513888888888889,2.384259259259259,0.46296296296296297,12.685185185185185,2.314814814814815,2.2453703703703702,0.2777777777777778,42.4537037037037,24.49074074074074,1.3888888888888888,1.1574074074074074,0.46296296296296297,0.46296296296296297
(R)-cetirizine,0.0,0.0,0.4191114836546522,6.705783738474435,0.2514668901927913,10.477787091366304,12.154233025984912,0.0,22.212908633696564,1.2573344509639564,18.440905280804696,0.5029337803855826,11.525565800502934,3.0595138306789607,2.5146689019279127,5.86756077116513,2.5146689019279127,0.4191114836546522
17&beta;-estradiol,2.846299810246679,5.692599620493358,1.1385199240986716,3.6053130929791273,0.18975332068311196,15.559772296015181,2.0872865275142316,0.18975332068311196,12.7134724857685,0.7590132827324478,6.83111954459203,1.1385199240986716,20.49335863377609,10.436432637571157,3.225806451612903,5.692599620493358,2.2770398481973433,3.0360531309297913
ACTH,0.3285870755750274,0.6936838262139468,0.7301935012778387,1.8254837531945967,0.2190580503833516,8.032128514056225,3.6509675063891933,0.7301935012778387,26.579043446513328,1.8254837531945967,3.6509675063891933,1.095290251916758,24.35195326761592,16.42935377875137,2.9207740051113547,2.190580503833516,1.4603870025556773,1.8254837531945967
