HGNC Symbol,AllScore
&Delta;9-tetrahydrocannabinol,3976.6
&alpha;-methylnoradrenaline,985.6
&gamma;-hydroxybutyric acid,246
(-)-adrenaline,8478
(-)-noradrenaline,15464.4
(-)-pentazocine,193
(-)-sulpiride,2160
(R)-cetirizine,1908.8
17&beta;-estradiol,2635
ACTH,547.8
FSH,6832.2
LH,30.6
N-methyl scopolamine,3174.4
PGE1,2300.2
PGE2,9923.7
PGI2,1255.8
TSH,506.4
abaloparatide,2330
abarelix,3992
acebutolol,360
acipimox,1608.5
aclidinium,3572.9
adenosine,2462.6
adomeglivant,291.6
agomelatine,1981.7
alfuzosin,3489.6
alprenolol,601.4
alvimopan,193
ambrisentan,17776
amisulpride,1207
amitriptyline,6136.6
amoxapine,34
apomorphine,16294.4
apraclonidine,10921.5
aprepitant,1103.4
arformoterol,961.4
aripiprazole,5029.4
asenapine,4523.7
atenolol,961.4
atosiban,3468.4
atropine,4193.8
azelastine,1908.8
baclofen,17960
beclometasone dipropionate,3300.5
benperidol,2135
benzquinamide,1207
betaxolol,961.4
bethanechol,4115.4
bimatoprost,2348.8
biperiden,4193.8
blonanserin,1745.4
bosentan,11059.2
brexpiprazole,1207
brimonidine,11853
bromocriptine,16995.4
bumetanide,0
bupranolol,1083.2
buprenorphine,120.5
buserelin,3992
buspirone,53
butorphanol,120.5
cabergoline,17497.4
caffeine,2462.6
calcitonin,5426.2
calcitonin (salmon),9.6
candesartan,4538.7
cangrelor,1130.5
carazolol,723.2
carbachol,4193.8
cariprazine,1232
carvedilol,1083.2
cetirizine,1908.8
cetrorelix,3992
chenodeoxycholic acid,9657.3
chloroquine,0
chlorpheniramine,1908.8
chlorpromazine,17558
cholic acid,202.8
cimetidine,1080.8
cinacalcet,127.8
clemastine,1908.8
clidinium,771.2
clonidine,11853
clozapine,11408.2
codeine,25
conivaptan,2658
corticotropin zinc hydroxide,91.2
cosyntropin,91.2
cyclizine,1908.8
cyclosporin A,9454.5
cyproheptadine,5522.8
dapiprazole,985.6
darifenacin,4193.8
degarelix,3992
deoxycholic acid,9657.3
desloratadine,1908.8
desmopressin,2658
dexamfetamine,0
dexetimide,398.5
dexmedetomidine,11853
diazepam,536
dicyclomine,3572.9
dihydroergotamine,942.9
diphenhydramine,1908.8
dobutamine,961.4
domperidone,1232
dopamine,2425.2
dosulepin,6102.6
doxazosin,3489.6
doxepin,1908.8
duloxetine,1227.6
eletriptan,905.5
eluxadoline,25
ephedrine,601.4
epinastine,1908.8
eprosartan,4538.7
ergometrine,149.5
ergotamine,2892.2
erythromycin-A,8
esmolol,360
etelcalcetide,127.8
exendin-4,24.6
famotidine,1080.8
fenoldopam,1161.8
fenoterol,601.4
fentanyl,193
fexofenadine,1908.8
fingolimod,14588.5
flibanserin,591.4
fluoxetine,769.6
flupentixol,1497.2
fluphenazine,4043.8
fluspirilene,2775.7
formoterol,601.4
fosaprepitant,1103.4
frovatriptan,720
fulvestrant,2635
furosemide,0
gallamine,398.5
glucagon,316.2
glycopyrrolate,4193.8
goserelin,3992
guanabenz,11853
guanfacine,11853
haloperidol,5911.4
histrelin,3992
hydrocodone,120.5
hydromorphone,193
hydroxyzine,1908.8
icatibant,3132
iloperidone,177.4
iloprost,10346.7
imipramine,398.5
indacaterol,961.4
indomethacin,456
indoramin,3489.6
ipratropium,4193.8
irbesartan,4538.7
isoprenaline,1083.2
istradefylline,2462.6
ketanserin,7111.9
ketotifen,1908.8
labetalol,1947
lanreotide,1711.5
latanoprost (free acid form),2348.8
latanoprost (isopropyl ester),2348.8
leuprolide,3992
levallorphan,25
levobunolol,1083.2
levocabastine,12.6
levodopa,0
levorphanol,25
liraglutide,24.6
lisuride,17531.4
lixisenatide,24.6
loperamide,25
loratadine,1908.8
lorazepam,1835.1
lorcaserin,1963.2
losartan,4538.7
loxapine,5296.4
lurasidone,11011.9
macitentan,17776
maraviroc,304
melatonin,788.1
mesoridazine,2712.4
methadone,25
methoxamine,3489.6
methylergonovine,2148.7
methylnaltrexone,193
metoprolol,961.4
mianserin,5577.2
mirabegron,1083.2
mirtazapine,13046.6
misoprostol (methyl ester),3130.3
mogamulizumab,150
molindone,2447.2
montelukast,1019.2
