Target (HGNC Symbol),Receptor,Union Effectors
HTR1A,Gi,5
HTR1B,Gi,5
HTR1D,Gi,5
HTR1E,Gi,5
HTR1F,Gi,5
HTR2A,Gq,8
HTR2B,Gq,8
HTR2C,Gq,8
HTR4,Gs,2
HTR5A,Gi,5
HTR6,Gs,2
HTR7,Gs,2
TBXA1R,Gi,5
ADORA2A,Gs,2
ADORA2B,Gs,2
ADORA3,,0
ACKR3,,0
ADGRG3,Gi,5
ADRA1A,Gq,8
ADRA1B,Gq,8
ADRA1D,Gq,8
ADRA2A,Gi,5
ADRA2B,Gi,5
ADRA2C,Gi,5
AMY1,Gs,2
AMY2,Gs,2
AMY3,Gs,2
AGTR1,Gi+Gq,9
BDKRB1,Gi+Gq,9
BDKRB2,Gi+Gq,9
ADRB1,Gs,2
ADRB2,Gs,2
ADRB3,Gs,2
CASR,Gq/11 +  Gi/o + G12/13,9
CNR1,Gi,5
CNR2,Gi,5
CCR4,Gi,5
CCR5,Gi,5
CALCR,Gs,2
CXCR4,Gi,5
CYSLTR1,Gq,8
CYSLTR2,Gq,8
DRD1,Gs,2
DRD2,Gi,5
DRD3,Gi,5
DRD4,Gi,5
DRD5,Gs,2
OPRD1,Gi,5
PTGDR,Gs,2
PTGDR2,Gi,5
PTGER1,Gq,8
PTGER2,Gs,2
PTGER3,Gi,5
PTGER4,Gs,2
EDNRA,Gq,8
EDNRB,Gs+Gi+Gq,9
FFAR1,Gq,8
PTGFR,Gq,8
FPR1,Gi,5
CGA,Gs,2
GABBR,Gi,5
GHRH,Gs,2
GLP1R,Gs,2
GLP2R,,0
GCGR,Gs,2
GNRH1,Gq,8
GPBAR1,Gs,2
GPER1,Gi,5
GPR143,,0
GPR18,Gi+Gq,9
GPR35,,0
GPR55,Gq+G1,8
GPR68,Gi/o + Gq/11,9
HRH1,Gq,8
HRH2,Gq,8
HRH4,Gi,5
HCAR1,Gi,5
HCAR2,Gi,5
PTGIR,Gs,2
OPRK1,Gi,5
LHCGR,Gs,2
CHRM1,Gq,8
CHRM2,Gi,5
CHRM3,Gq,8
CHRM4,Gi,5
CHRM5,Gq,8
MC1R,Gs,2
MC2R,Gs,2
MC3R,Gs,2
MC4R,Gs,2
MC5R,Gs,2
MLNR,Gq+G1,8
MRGPRX1,Gq,8
MTNR1A,Gi,5
MTNR1B,Gi,5
OPRM1,Gi,5
TACR1,Gs+Gq,9
HCRTR2,Gq,8
OXTR,Gq,8
HCRTR1,Gs+Gi+Gq,9
HCRTR2,Gs+Gi+Gq,9
P2RY1,Gq,8
P2RY11,Gq,8
P2RY12,,0
P2RY13,Gi,5
P2RY2,Gq,8
F2R,,0
PTH1R,Gs,2
PTH2R,,0
S1PR1,Gi/o,5
S1PR5,Gi/o + G12/13,5
SCTR,,0
SMO,Gi+G1,5
SSTR1,Gi,5
SSTR2,Gi,5
SSTR3,Gi,5
SSTR5,Gi,5
TAAR1,Gs,2
TBXA2R,Gq,8
TSHR,Gs,2
AVPR1A,Gq,8
AVPR1B,Gq,8
AVPR2,Gs,2
NPY4R,Gi/o,5
