HGNC Symbol,Brodmann (1909) area 24,Brodmann (1909) area 9,C1 segment of cervical spinal cord,EBV-transformed lymphocyte,adrenal gland,amygdala,aorta,atrium auricular region,blood,breast,caudate nucleus,cerebellar hemisphere,cerebellum,cerebral cortex,coronary artery,cortex of kidney,ectocervix,endocervix,esophagogastric junction,esophagus mucosa,esophagus muscularis mucosa,fallopian tube,greater omentum,heart left ventricle,hippocampus proper,hypothalamus,liver,lower leg skin,lung,minor salivary gland,nucleus accumbens,ovary,pancreas,pituitary gland,prostate gland,putamen,sigmoid colon,skeletal muscle tissue,small intestine Peyer's patch,spleen,stomach,subcutaneous adipose tissue,substantia nigra,suprapubic skin,testis,thyroid gland,tibial artery,tibial nerve,transformed skin fibroblast,transverse colon,urinary bladder,uterus,vagina
ACKR3,10,9,7,42,3,8,133,48,1,105,10,2,5,11,88,7,46,53,87,30,74,88,121,22,6,8,11,60,43,23,9,25,28,35,32,8,62,23,47,119,25,170,7,59,32,112,203,148,36,34,60,35,67
ADGRG3,0,0,0.5,0,0,0,1,0.8,460,5,0,0,0,0,1,1,6,2,3,2,3,9,10,0.8,0,0,2,2,29,1,0,1,0,0.6,1,0,3,0.6,6,80,2,3,0.5,2,0.9,10,0.5,0.9,0,3,2,2,2
ADORA2A,0,0,0,2,0,0,0,0,0.9,0,0.7,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0.9,0.5,0,0,0,0.7,0,0,0,0.7,0,0,0,0,1,0,0,0,0,0,0,0,0
ADORA2B,8,6,2,0.5,2,4,0.9,0.8,0.9,2,5,3,5,7,1,0.5,2,3,2,12,1,3,1,1,4,3,0,10,4,2,6,2,1,4,3,4,4,0.6,2,2,0.9,1,2,12,3,1,1,2,9,11,3,2,10
ADORA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRA1A,2,1,0.6,0,0,1,0,0,0,2,0.9,0.8,2,1,0.6,0,0.9,0.6,1,0,0.5,0,3,2,1,1,18,0.6,5,0.7,0.5,0.7,0,0,3,0.7,1,0,1,4,0.6,3,0.7,0.5,1,0,2,0,0,0.6,0.6,0.9,0
ADRA1B,12,10,0.5,0,3,3,45,2,0,4,2,1,2,12,5,3,1,1,2,0,2,11,8,1,3,3,10,2,9,0,2,6,0,1,0.8,1,1,0,2,22,1,5,0.5,0.9,0.8,4,22,5,9,1,0.9,2,0.6
ADRA1D,2,3,0,0,0.5,0.8,11,0,0,2,1,0,0,3,1,0,17,15,2,0,0.9,5,2,0,3,1,0,0.8,5,0.5,0.7,0.9,0,0,5,0.9,3,0,0,3,0.6,2,0,0.6,2,2,2,9,0,1,4,5,5
ADRA2A,4,5,1,0,2,1,5,2,0,61,0.6,11,12,6,9,3,133,106,5,4,4,13,44,0.7,2,7,0.7,21,7,11,0.6,43,26,3,13,0,8,0.8,8,15,2,102,2,13,13,19,14,27,0,12,15,15,45
ADRA2B,0,0.5,2,0,3,0.9,7,2,0,6,2,0,0.5,0.6,3,4,3,4,7,1,8,6,9,5,0.9,0.5,5,3,1,3,2,3,0.8,0.9,3,2,5,6,3,16,3,10,0.7,2,3,3,6,11,0,3,5,7,3
